document,page,is_known_blank_page,gt_chars,gt_words,CER_original,WER_original,CER_degraded,WER_degraded,CER_delta_pp,WER_delta_pp
docA,p1,False,1662,269,0.0445,0.1792,0.2395,0.4083,19.49,22.92
docA,p2,False,927,131,0.0539,0.1197,0.3452,0.4957,29.13,37.61
docA,p3,False,997,156,0.0341,0.1338,0.2437,0.4225,20.96,28.87
docA,p4,False,821,125,0.0512,0.1518,0.3532,0.5446,30.21,39.29
docA,p5,False,827,125,0.0544,0.1696,0.3954,0.5446,34.1,37.5
docA,p6,False,2050,332,0.1312,0.2949,0.3927,0.5797,26.15,28.47
docA,p7,False,1364,228,0.0953,0.2587,0.5455,0.7313,45.01,47.26
docA,p8,False,2148,357,0.0889,0.2635,0.3804,0.5651,29.14,30.16
docA,p9,False,1366,207,0.2321,0.3681,0.5234,0.6813,29.14,31.32
docA,p10,False,2766,480,0.0325,0.1187,0.3362,0.4637,30.37,34.51
docA,p11,False,3838,698,0.0341,0.1395,0.2092,0.3113,17.51,17.18
docA,p12,False,1221,215,0.0147,0.0927,0.3129,0.4049,29.81,31.22
docA,p13,False,3003,511,0.1542,0.2562,0.351,0.4587,19.68,20.25
docA,p14,False,2381,375,0.3835,0.5279,0.5535,0.7097,17.01,18.18
docA,p15,False,2815,448,0.3968,0.5048,0.6405,0.7609,24.37,25.6
docA,p16,False,1080,179,0.0287,0.1287,0.4333,0.5322,40.46,40.35
docA,p17,False,835,132,0.085,0.2069,0.4551,0.6466,37.01,43.97
docA,p18,False,788,125,0.099,0.2523,0.1701,0.3514,7.11,9.91
docA,p19,False,750,114,0.8693,1.0865,0.788,1.1731,-8.13,8.65
docA,p20,False,684,106,0.8509,1.0309,0.8538,1.1237,0.29,9.28
docA,p21,False,1734,247,0.3576,0.4579,0.5248,0.7053,16.72,24.74
docA,p22,False,935,138,0.1497,0.2373,0.4171,0.5424,26.74,30.51
docA,p23,False,1921,280,0.2863,0.4033,0.5174,0.6872,23.11,28.4
docA,p24,False,1191,181,0.0437,0.1152,0.3333,0.5091,28.97,39.39
docA,p25,False,1328,195,0.0753,0.1706,0.4315,0.5706,35.62,40.0
